"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Romania" "Romania" "Europe" 63.1 1676 "(51.8,63.4]" "Eurp" "Europe" 177.6 2004 "(152,476]" 5.17953383055807 "(81.2,212]"
"Russia" "Russia" "Europe" 58.6 NA "(51.8,63.4]" "Eurp" "Europe" 244.7 2004 "(152,476]" 5.50003297044863 "(212,695]"
"Rwanda" "Rwanda" "Africa" 38.3 135 "(28.6,40.2]" "Afrc" "Africa" 15.5 2004 "[0.3,31.1]" 2.7408400239252 "[0.3,24.2]"
"Saint Kitts and Nevis" "Saint Kitts and Nevis" "North America" 61.5 NA "(51.8,63.4]" "NrtA" "N.America" 500.4 2004 "(476,6.1e+03]" 6.21540777859276 "(212,695]"
"Saint Lucia" "Saint Lucia" "North America" 62.7 NA "(51.8,63.4]" "NrtA" "N.America" 232.4 2004 "(152,476]" 5.44846002497776 "(212,695]"
"Saint Vincent and the Grenadines" "Saint Vincent and the Grenadines" "North America" 61 NA "(51.8,63.4]" "NrtA" "N.America" 210.2 2004 "(152,476]" 5.34805945844285 "(81.2,212]"
"Samoa" "Samoa" "Australia" 59.7 1509 "(51.8,63.4]" "Astr" "Australia" 108.9 2004 "(31.1,152]" 4.69043002993891 "(81.2,212]"
"San Marino" "San Marino" "Europe" 73.4 NA "(63.4,75]" "Eurp" "Europe" 3355.7 2004 "(476,6.1e+03]" 8.11841567145789 "(695,6.1e+03]"
"Sao Tome and Principe" "Sao Tome and Principe" "Africa" 54.4 NA "(51.8,63.4]" "Afrc" "Africa" 47.8 2004 "(31.1,152]" 3.86702563949741 "(24.2,81.2]"
"Saudi Arabia" "Saudi Arabia" "Asia" 61.4 NA "(51.8,63.4]" "Asia" "Asia" 348 2004 "(152,476]" 5.85220247977447 "(212,695]"
"Senegal" "Senegal" "Africa" 48 340 "(40.2,51.8]" "Afrc" "Africa" 39.4 2004 "(31.1,152]" 3.67376581630389 "(24.2,81.2]"
"Serbia" "Serbia" "Europe" 63.8 NA "(63.4,75]" "Eurp" "Europe" 218.7 2004 "(152,476]" 5.38770092768272 "(212,695]"
"Seychelles" "Seychelles" "Africa" 61.2 NA "(51.8,63.4]" "Afrc" "Africa" 534.4 2004 "(476,6.1e+03]" 6.28114462222244 "(212,695]"
